시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
안성시,사곡동,14,3,4,7,8,2021-09-06,,,,
안성시,삼죽면,221,123,42,56,120,2021-09-06,,,,
안성시,서운면,342,81,70,191,209,2021-09-06,,,,
안성시,서인동,28,8,6,14,15,2021-09-06,,,,
안성시,석정동,252,112,86,54,206,2021-09-06,,,,
안성시,성남동,33,14,7,12,25,2021-09-06,,,,
안성시,숭인동,115,51,50,14,90,2021-09-06,,,,
안성시,신건지동,62,35,15,12,51,2021-09-06,,,,
안성시,신모산동,3,0,3,0,2,2021-09-06,,,,
안성시,신소현동,138,64,58,16,110,2021-09-06,,,,
안성시,신흥동,33,15,7,11,20,2021-09-06,,,,
안성시,아양동,275,141,74,60,212,2021-09-06,,,,
안성시,양성면,325,138,89,98,175,2021-09-06,,,,
안성시,연지동,25,18,5,2,19,2021-09-06,,,,
안성시,영동,27,15,10,2,23,2021-09-06,,,,
안성시,옥산동,165,67,56,42,133,2021-09-06,,,,
안성시,옥천동,29,11,10,8,22,2021-09-06,,,,
안성시,원곡면,415,192,111,112,236,2021-09-06,,,,
안성시,인지동,59,28,13,18,41,2021-09-06,,,,
안성시,일죽면,430,275,98,57,261,2021-09-06,,,,
안성시,죽산면,410,229,102,79,209,2021-09-06,,,,
안성시,중리동,156,64,52,40,114,2021-09-06,,,,
안성시,창전동,26,14,8,4,23,2021-09-06,,,,
안성시,합계,9975,4836,3030,2109,6805,2021-09-06,,,,
안성시,현수동,33,15,10,8,25,2021-09-06,,,,
안양시,관양동,4781,3062,1218,501,3763,2021-08-20,,,,
안양시,박달동,2434,1467,759,208,1895,2021-08-20,,,,
안양시,비산동,5189,3377,1379,433,4189,2021-08-20,,,,
안양시,석수동,3884,2322,1246,316,3008,2021-08-20,,,,
안양시,안양동,10261,7009,2485,767,7740,2021-08-20,,,,
안양시,평촌동,3219,2143,670,406,2739,2021-08-20,,,,
안양시,호계동,5876,3875,1470,531,4757,2021-08-20,,,,
양주시,고암동,1178,582,518,78,877,2022-07-20,,,,
양주시,고읍동,753,391,325,37,545,2022-07-20,,,,
양주시,광사동,915,435,406,74,687,2022-07-20,,,,
양주시,광적면,768,493,223,52,448,2022-07-20,,,,
양주시,남면,370,196,133,41,261,2022-07-20,,,,
양주시,남방동,83,32,38,13,49,2022-07-20,,,,
양주시,덕계동,1548,751,583,214,1136,2022-07-20,,,,
양주시,덕정동,1184,581,519,84,875,2022-07-20,,,,
양주시,마전동,40,19,21,0,23,2022-07-20,,,,
양주시,만송동,778,382,356,40,580,2022-07-20,,,,
